2	0	10013
3	0	10017
7	0	10014
10	0	10013
15	0	10017
19	0	10017
20	0	10017
21	0	10013
23	0	10013
25	0	10013
29	0	10017
38	0	10013
44	0	10013
47	0	10013
48	0	10013
54	0	10013
59	0	10013
61	0	10017
63	0	10013
66	0	10013
67	0	10017
69	0	10013
72	0	10013
78	0	10013
79	0	10013
85	0	10013
86	0	10013
88	0	10013
90	0	10013
94	0	10013
104	0	10013
107	0	10013
110	0	10013
113	0	10013
117	0	10013
118	0	10013
121	0	10017
122	0	10013
124	0	10013
125	0	10013
132	0	10013
133	0	10017
134	0	10013
139	0	10013
148	0	10017
150	0	10017
161	0	10013
163	0	10017
166	0	10013
171	0	10017
172	0	10012
173	0	10017
174	0	10017
178	0	10017
179	0	10013
180	0	10017
181	0	10013
182	0	10013
186	0	10012
188	0	10017
190	0	10017
191	0	10016
193	0	10017
194	0	10013
195	0	10013
197	0	10013
201	0	10017
206	0	10013
208	0	10013
210	0	10013
213	0	10017
218	0	10013
220	0	10017
221	0	10013
223	0	10013
225	0	10013
231	0	10013
234	0	10013
235	0	10017
236	0	10017
237	0	10013
238	0	10013
244	0	10013
246	0	10017
247	0	10013
249	0	10013
251	0	10013
252	0	10017
254	0	10013
260	0	10013
261	0	10017
263	0	10013
268	0	10017
269	0	10013
270	0	10016
273	0	10013
274	0	10013
276	0	10017
277	0	10013
278	0	10017
280	0	10013
281	0	10013
285	0	10013
301	0	10013
305	0	10013
306	0	10013
309	0	10013
310	0	10013
312	0	10013
314	0	10012
315	0	10013
322	0	10017
323	0	10013
326	0	10013
328	0	10017
330	0	10013
334	0	10013
336	0	10013
337	0	10017
339	0	10017
341	0	10013
342	0	10017
343	0	10013
344	0	10013
346	0	10013
347	0	10013
352	0	10017
353	0	10017
356	0	10013
357	0	10017
360	0	10013
361	0	10013
362	0	10013
367	0	10013
369	0	10013
372	0	10013
377	0	10013
379	0	10013
380	0	10013
381	0	10013
390	0	10013
391	0	10017
393	0	10013
394	0	10013
398	0	10012
401	0	10013
402	0	10013
408	0	10013
411	0	10015
414	0	10013
417	0	10017
419	0	10013
421	0	10013
426	0	10013
427	0	10013
430	0	10017
431	0	10013
432	0	10013
436	0	10017
437	0	10017
439	0	10013
442	0	10013
447	0	10013
448	0	10014
449	0	10013
452	0	10013
453	0	10017
456	0	10012
462	0	10017
463	0	10017
467	0	10017
469	0	10013
471	0	10017
472	0	10013
474	0	10017
475	0	10013
480	0	10013
481	0	10013
482	0	10013
484	0	10017
488	0	10013
489	0	10013
490	0	10013
493	0	10013
495	0	10013
498	0	10012
504	0	10013
506	0	10013
507	0	10013
512	0	10017
514	0	10012
518	0	10013
523	0	10017
524	0	10017
525	0	10013
529	0	10013
535	0	10013
539	0	10017
540	0	10013
542	0	10013
546	0	10013
550	0	10013
