8	11
10	24
21	42
23	45
26	53
38	85
41	90
59	114
76	165
102	215
103	219
110	234
114	241
116	247
121	272
125	282
126	283
138	297
139	298
143	309
149	325
153	328
164	345
167	363
185	400
187	404
189	409
202	432
215	469
219	479
231	514
243	561
248	577
250	578
269	615
278	634
298	684
299	685
314	708
330	739
333	746
341	758
350	782
358	806
362	817
363	819
367	827
370	829
381	857
391	880
396	893
402	912
408	936
411	939
412	940
414	945
425	960
435	991
472	1071
479	1096
488	1116
489	1118
493	1124
498	1134
506	1142
518	1162
522	1175
523	1178
543	1223
545	1224
549	1235
550	1237
554	1247
557	1255
560	1257
570	1278
571	1282
583	1307
585	1311
587	1315
592	1337
598	1345
601	1350
603	1355
613	1379
618	1387
625	1408
635	1430
641	1442
647	1461
651	1468
654	1470
674	1498
682	1522
684	1536
685	1537
687	1542
699	1574
701	1583
718	1613
725	1636
732	1657
740	1677
741	1678
750	1693
754	1701
762	1716
767	1735
794	1811
797	1815
805	1828
807	1829
809	1834
824	1902
827	1909
831	1926
834	1945
838	1950
840	1962
856	1989
876	2031
889	2053
895	2061
901	2067
906	2079
912	2100
916	2108
932	2136
933	2137
946	2161
956	2177
962	2186
967	2197
969	2204
975	2224
999	2279
1000	2283
1015	2312
1026	2317
1034	2332
1037	2343
1049	2384
1053	2390
1060	2401
1071	2428
1073	2434
1075	2436
1076	2444
1079	2461
1085	2466
1089	2476
1092	2483
1103	2505
1108	2513
1111	2519
1118	2542
1136	2588
1138	2590
1145	2609
1148	2611
1150	2615
1153	2621
1156	2624
1163	2643
1172	2661
1182	2698
1187	2706
1189	2722
1198	2760
1201	2769
1221	2798
1222	2801
1225	2807
1232	2823
1250	2850
1251	2852
1294	2946
1296	2949
1297	2952
1304	2966
1318	3008
1321	3011
1328	3019
1336	3028
1337	3035
1340	3044
1346	3066
1348	3070
1355	3086
1361	3106
1370	3129
1373	3137
1374	3140
1392	3192
1395	3198
1403	3207
1404	3209
1407	3225
1412	3235
1417	3245
1422	3255
1423	3260
1432	3277
1443	3302
1448	3317
1450	3321
1457	3342
1458	3345
1460	3346
1461	3348
1463	3351
1465	3356
1471	3365
1485	3394
1490	3413
1502	3431
1506	3441
1507	3442
1509	3446
1511	3450
1523	3470
1526	3480
1549	3526
1566	3553
1572	3569
1580	3586
1582	3591
1587	3603
1599	3619
1603	3626
1609	3632
1617	3651
1634	3687
1650	3728
1651	3729
1655	3739
1660	3766
1666	3780
1669	3783
1670	3784
1681	3816
1684	3821
1685	3822
1686	3827
1710	3887
1715	3904
1730	3941
1738	3951
1747	3979
1750	3988
1754	3991
1760	4006
1762	4008
1771	4020
1775	4030
1777	4037
1778	4040
1782	4042
1828	4126
1829	4127
1830	4128
1845	4154
1847	4158
1853	4174
1857	4181
1870	4230
1876	4250
1879	4256
1882	4266
1888	4287
1889	4290
1892	4306
1895	4310
1900	4328
1901	4338
1907	4358
1911	4369
1913	4380
1921	4391
1925	4406
1939	4453
1940	4457
1944	4462
1948	4466
1952	4471
1982	4521
1983	4525
1988	4536
2002	4571
2009	4585
2012	4591
2014	4592
2016	4595
2020	4612
2023	4617
2030	4632
2048	4666
2053	4680
2058	4685
2063	4697
2068	4711
2073	4722
2080	4733
2088	4742
2099	4755
2102	4763
2104	4771
2108	4774
2122	4807
2127	4814
2128	4819
2130	4826
2137	4844
2139	4849
2146	4864
2150	4872
2158	4883
2160	4891
2162	4896
2163	4897
2176	4916
2191	4955
2202	4999
2203	5004
2218	5043
2220	5048
2221	5051
2231	5075
2237	5094
2240	5098
2245	5109
2249	5120
2253	5129
2255	5133
2258	5136
2271	5194
2273	5198
2274	5199
2294	5252
2303	5273
2310	5293
2326	5329
2330	5339
2343	5369
2345	5370
2349	5384
2353	5388
2354	5390
2357	5392
2368	5426
2377	5447
2381	5452
2384	5465
2400	5506
2405	5516
2406	5518
2407	5519
2408	5521
2409	5523
2412	5533
2416	5553
2428	5582
2433	5594
2439	5604
2447	5613
2457	5634
2462	5640
2463	5641
2479	5662
2493	5696
2500	5710
2507	5724
2512	5732
2534	5772
2538	5786
2540	5792
2543	5797
2560	5819
2561	5820
2567	5833
2570	5834
2574	5840
2578	5849
2582	5856
2590	5871
2592	5880
2598	5884
2600	5888
2601	5889
2604	5898
2605	5899
2608	5910
2611	5921
2617	5940
2618	5943
2629	5958
2634	5975
2640	5988
2641	5994
2652	6024
2666	6059
2675	6070
2676	6072
2677	6074
2678	6075
2679	6076
2689	6090
2696	6111
2703	6125
2714	6149
2716	6157
2721	6165
2726	6171
2729	6173
2735	6180
2739	6191
2740	6196
2741	6197
2746	6209
2765	6257
2766	6261
2769	6263
2777	6278
2781	6286
2789	6317
2804	6352
2808	6364
2810	6371
2816	6380
2826	6394
2833	6407
2856	6455
2859	6472
2864	6480
2865	6481
2866	6482
2875	6511
2876	6513
2889	6529
2893	6536
2894	6537
2912	6592
2915	6599
2922	6609
2923	6612
2935	6646
2937	6647
2943	6669
2944	6670
2945	6671
2946	6673
2947	6676
2950	6685
2953	6691
2957	6706
2958	6709
2969	6731
2973	6748
2977	6767
2981	6774
2983	6779
3014	6865
3022	6882
3024	6891
3032	6908
3039	6927
3073	6991
3093	7038
3100	7058
3109	7082
3112	7086
3130	7122
3137	7137
3138	7143
3144	7155
3155	7180
3157	7188
3182	7227
3194	7248
3206	7277
3223	7312
3225	7318
3226	7321
3232	7323
3238	7331
3245	7346
3248	7360
3262	7387
3268	7407
3272	7409
3273	7415
3284	7444
3294	7463
3297	7469
3307	7490
3324	7527
3326	7529
3329	7530
3333	7541
3344	7548
3356	7558
3360	7569
3361	7570
3366	7578
3372	7585
3389	7616
3391	7622
3406	7658
3415	7677
